PeakID (cmd=annotatePeaks.pl 500_result/Hyper.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
740	chr13	118657501	118658000	+	0	NA	intron (NR_131153, intron 1 of 6)	intron (NR_131153, intron 1 of 6)	993	NR_131153	100038690	Mm.384983	NR_131153	ENSMUSG00000114613	Gm10732	-	predicted gene 10732	ncRNA
497	chr8	121122501	121123000	+	0	NA	Intergenic	Intergenic	-4935	NM_008024	14241	Mm.5111	NM_008024	ENSMUSG00000097084	Foxl1	FREAC7|Fkh6|fkh-6	forkhead box L1	protein-coding
482	chr8	91806501	91807000	+	0	NA	Intergenic	Intergenic	-5096	NM_008393	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
629	chr11	75167501	75168000	+	0	NA	intron (NM_010430, intron 1 of 1)	CpG	402	NM_001098203	15248	Mm.57250	NM_010430	ENSMUSG00000043099	Hic1	AA408311|HIC-1	hypermethylated in cancer 1	protein-coding
365	chr6	16999501	17000000	+	0	NA	Intergenic	Intergenic	-65399	NM_207176	21753	Mm.436548	NM_011570	ENSMUSG00000029552	Tes	D6Ertd352e|TESS|Tes1|Tes2|testin2	testis derived transcript	protein-coding
934	chr19	54171001	54171500	+	0	NA	Intergenic	MTE2b|LTR|ERVL-MaLR	125991	NM_007417	11551	Mm.235195	NM_007417	ENSMUSG00000033717	Adra2a	AW122659|Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	adrenergic receptor, alpha 2a	protein-coding
785	chr14	24508501	24509000	+	0	NA	Intergenic	Intergenic	17997	NM_001360586	20088	Mm.16775	NM_011297	ENSMUSG00000025290	Rps24	-	ribosomal protein S24	protein-coding
275	chr5	140579501	140580000	+	0	NA	Intergenic	Intergenic	-14683	NM_030022	77998	Mm.160040	NM_030022	ENSMUSG00000036586	Grifin	E130101O17Rik	galectin-related inter-fiber protein	protein-coding
940	chr19	58999001	58999500	+	0	NA	intron (NM_001114312, intron 14 of 16)	intron (NM_001114312, intron 14 of 16)	-55578	NM_001327998	73442	Mm.39739	NM_175199	ENSMUSG00000025092	Hspa12a	1700063D12Rik|AI118035|AI840429|AW048913|AW556406|D5Mgi40|Gm19925|mKIAA0417	heat shock protein 12A	protein-coding
142	chr2	92493501	92494000	+	0	NA	Intergenic	Intergenic	-33232	NM_145832	228368	Mm.273990	NM_145832	ENSMUSG00000049922	Slc35c1	E430007K15Rik|fuct1	solute carrier family 35, member C1	protein-coding
589	chr10	81346501	81347000	+	0	NA	intron (NM_001163165, intron 8 of 9)	CpG-1359	-3391	NM_148951	209047	Mm.218755	NM_148951	ENSMUSG00000034872	Gipc3	Ahl5|Rgs19ip3	GIPC PDZ domain containing family, member 3	protein-coding
13	chr1	180482001	180482500	+	0	NA	intron (NM_001081227, intron 1 of 3)	intron (NM_001081227, intron 1 of 3)	1254	NM_001081227	381310	Mm.44791	NM_001081227	ENSMUSG00000053963	Stum	6330403A02Rik|Gm10001|R75555	mechanosensory transduction mediator	protein-coding
51	chr1	8410501	8411000	+	0	NA	intron (NM_001290393, intron 19 of 19)	IAPLTR2_Mm|LTR|ERVK	889127	NM_001290393	71096	Mm.336395	NM_027671	ENSMUSG00000025909	Sntg1	4933426D16Rik|G1SYN|SYN4	syntrophin, gamma 1	protein-coding
880	chr17	12042501	12043000	+	0	NA	intron (NM_016694, intron 10 of 11)	intron (NM_016694, intron 10 of 11)	-76534	NM_026644	68262	Mm.258300	NM_026644	ENSMUSG00000023827	Agpat4	1500003P24Rik	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	protein-coding
522	chr8	12446001	12446500	+	0	NA	Intergenic	Intergenic	50731	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
823	chr15	83871001	83871500	+	0	NA	exon (NM_001161629, exon 10 of 13)	exon (NM_001161629, exon 10 of 13)	48123	NM_001161629	77627	Mm.196288	NM_029946	ENSMUSG00000022441	Efcab6	4931407K02Rik|4932408N08Rik|bM150J22.2|mKIAA1672	EF-hand calcium binding domain 6	protein-coding
355	chr6	47777501	47778000	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-24825	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
917	chr18	38075001	38075500	+	0	NA	Intergenic	Intergenic	-76281	NM_001205336	106952	Mm.247642	NM_139206	ENSMUSG00000024451	Arap3	Centd3|Drag1|E030006K04Rik|cnt-d3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein-coding
429	chr7	27408001	27408500	+	0	NA	exon (NM_032610, exon 14 of 36)	exon (NM_032610, exon 14 of 36)	-11697	NM_001199236	80297	Mm.459123	NM_032610	ENSMUSG00000011751	Sptbn4	1700022P15Rik|5830426A08Rik|ROSA62|SpbIV|Spnb4|dyn|lnd|nmf261|nmf379|qv	spectrin beta, non-erythrocytic 4	protein-coding
682	chr11	3156001	3156500	+	0	NA	intron (NM_030207, intron 12 of 32)	intron (NM_030207, intron 12 of 32)	32248	NR_003517	236604	Mm.247625	NM_001004146		Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
681	chr11	3152501	3153000	+	0	NA	intron (NM_001363224, intron 11 of 28)	intron (NM_001363224, intron 11 of 28)	28748	NR_003517	236604	Mm.247625	NM_001004146		Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
697	chr11	57831501	57832000	+	0	NA	exon (NM_008213, exon 1 of 2)	exon (NM_008213, exon 1 of 2)	397	NM_008213	15110	Mm.4746	NM_008213	ENSMUSG00000037335	Hand1	Ehand1|Hxt|Th1|Thing1|bHLHa27|eHAND	heart and neural crest derivatives expressed 1	protein-coding
521	chr8	12468001	12468500	+	0	NA	Intergenic	Intergenic	72731	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
156	chr2	119828501	119829000	+	0	NA	Intergenic	Lx9|LINE|L1	29236	NM_019392	22174	Mm.2901	NM_019392	ENSMUSG00000027298	Tyro3	AI323366|Brt|Dtk|Etk-2|Rse|Sky|TK19-2|Tif|etk2/tyro3|tk19-1	TYRO3 protein tyrosine kinase 3	protein-coding
717	chr12	69711001	69711500	+	0	NA	intron (NM_145443, intron 4 of 9)	intron (NM_145443, intron 4 of 9)	13624	NM_145443	217666	Mm.103362	NM_145443	ENSMUSG00000020988	L2hgdh	BC016226	L-2-hydroxyglutarate dehydrogenase	protein-coding
107	chr2	151974001	151974500	+	0	NA	promoter-TSS (NM_001289151)	promoter-TSS (NM_001289151)	-269	NM_001289150	73847	Mm.272444	NM_028666	ENSMUSG00000027459	Fam110a	1700008J10Rik|5430432M24Rik|AI747080	family with sequence similarity 110, member A	protein-coding
685	chr11	3135001	3135500	+	0	NA	intron (NM_001363224, intron 23 of 28)	intron (NM_001363224, intron 23 of 28)	11248	NR_003517	236604	Mm.247625	NM_001004146		Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
59	chr1	93224001	93224500	+	0	NA	intron (NM_001310428, intron 30 of 31)	intron (NM_001310428, intron 30 of 31)	-11647	NM_172463	208777	Mm.271897	NM_172463	ENSMUSG00000047793	Sned1	6720455I24Rik|AI197264|AI642697|D430044C15Rik|SST3|Snep	sushi, nidogen and EGF-like domains 1	protein-coding
729	chr12	104845501	104846000	+	0	NA	intron (NR_104437, intron 1 of 13)	intron (NR_104437, intron 1 of 13)	19326	NR_104435	94040	Mm.244078	NM_053155	ENSMUSG00000021097	Clmn	9330188N17Rik|AI428889|AI788815|mKIAA1188	calmin	protein-coding
525	chr8	12165501	12166000	+	0	NA	Intergenic	Intergenic	-220021	NR_027975	434280	Mm.447484	NM_001013812	ENSMUSG00000047935	Sox1ot	EG434280|Gm5607	Sox1 overlapping transcript	ncRNA
807	chr15	101053001	101053500	+	0	NA	exon (NM_001214911, exon 1 of 1)	exon (NM_001214911, exon 1 of 1)	1149	NM_001214911	668225	Mm.385011	NM_001214911	ENSMUSG00000095440	Fignl2	EG668225	fidgetin-like 2	protein-coding
352	chr6	125361501	125362000	+	0	NA	TTS (NM_198604)	TTS (NM_198604)	12027	NM_011609	21937	Mm.1258	NM_011609	ENSMUSG00000030341	Tnfrsf1a	CD120a|FPF|TNF-R|TNF-R-I|TNF-R1|TNF-R55|TNF-alphaR1|TNFAR|TNFR60|TNFRI|TNFRp55|TNFalpha-R1|Tnfr-2|Tnfr1|p55|p55-R	tumor necrosis factor receptor superfamily, member 1a	protein-coding
856	chr16	44687001	44687500	+	0	NA	Intergenic	Intergenic	-37051	NM_145972	212547	Mm.310573	NM_145972	ENSMUSG00000036208	Nepro	-	nucleolus and neural progenitor protein	protein-coding
374	chr7	99432001	99432500	+	0	NA	intron (NM_001362168, intron 4 of 17)	intron (NM_001362168, intron 4 of 17)	-33754	NM_028145	72184	Mm.153585	NM_028145	ENSMUSG00000035298	Klhl35	2810406K13Rik	kelch-like 35	protein-coding
417	chr7	24947001	24947500	+	0	NA	Intergenic	Intergenic	-2479	NM_001370804	232974		NM_001370804	ENSMUSG00000108367	Gm4881	EG232974	predicted gene 4881	protein-coding
929	chr19	37018501	37019000	+	0	NA	Intergenic	Intergenic	92671	NM_001080706	107182	Mm.295062	NM_001080706	ENSMUSG00000040565	Btaf1	AI414500|AI447930|E430027O22Rik|TAF170	B-TFIID TATA-box binding protein associated factor 1	protein-coding
123	chr2	181147501	181148000	+	0	NA	3' UTR (NM_007906, exon 8 of 8)	3' UTR (NM_007906, exon 8 of 8)	9265	NM_007906	13628	Mm.2645	NM_007906	ENSMUSG00000016349	Eef1a2	EEF1AL|EF-1-alpha-2|Eef1a|S1|STN|wasted|wst	eukaryotic translation elongation factor 1 alpha 2	protein-coding
351	chr6	127251001	127251500	+	0	NA	Intergenic	Intergenic	56717	NR_073373	232386	Mm.257367	NR_073373	ENSMUSG00000107153	Gm38404	D130058E03	predicted gene, 38404	ncRNA
264	chr5	113550501	113551000	+	0	NA	5' UTR (NM_177292, exon 1 of 8)	5' UTR (NM_177292, exon 1 of 8)	330	NM_177292	320916	Mm.102783	NM_177292	ENSMUSG00000063430	Wscd2	4933413A10Rik|C530024P05Rik|Gm450	WSC domain containing 2	protein-coding
634	chr11	69557001	69557500	+	0	NA	exon (NM_007911, exon 2 of 5)	exon (NM_007911, exon 2 of 5)	2987	NM_007911	13643	Mm.249637	NM_007911	ENSMUSG00000003934	Efnb3	EFL-6|ELF-3|Elk-L3|Epl8|LERK-8|NLERK-2	ephrin B3	protein-coding
640	chr11	110449001	110449500	+	0	NA	intron (NM_001356345, intron 1 of 10)	intron (NM_001356345, intron 1 of 10)	-29265	NM_001356347	26399	Mm.14487	NM_011943	ENSMUSG00000020623	Map2k6	MAPKK 6|MAPKK6|MEK6|MKK6|Prkmk6|SAPKK3	mitogen-activated protein kinase kinase 6	protein-coding
578	chr9	34645001	34645500	+	0	NA	intron (NM_001190912, intron 1 of 15)	B4A|SINE|B4	156519	NM_001190914	67703	Mm.220710	NM_026324	ENSMUSG00000032036	Kirrel3	1500010O20Rik|2900036G11Rik|NEPH2|SST4|mKIAA1867	kirre like nephrin family adhesion molecule 3	protein-coding
371	chr6	30957501	30958000	+	0	NA	exon (NM_001135093, exon 1 of 1)	exon (NM_001135093, exon 1 of 1)	1240	NM_001135093	619665	Mm.204671	NM_001135093	ENSMUSG00000073209	Klf14	5330411L03Rik|AL022736|BTEB5	Kruppel-like factor 14	protein-coding
899	chr17	31725501	31726000	+	0	NA	Intergenic	Intergenic	47819	NM_001278570	12954	Mm.1228	NM_013501	ENSMUSG00000024041	Cryaa	Acry-1|Crya-1|Crya1|DAcry-1|lop18	crystallin, alpha A	protein-coding
590	chr10	84372001	84372500	+	0	NA	3' UTR (NM_001004363, exon 7 of 7)	3' UTR (NM_001004363, exon 7 of 7)	68418	NM_001004363	77976	Mm.25874	NM_001004363	ENSMUSG00000020032	Nuak1	AU014801|AW494241|B230104P22Rik|Omphk1	NUAK family, SNF1-like kinase, 1	protein-coding
354	chr6	54485001	54485500	+	0	NA	exon (NM_001167860, exon 5 of 9)	exon (NM_001167860, exon 5 of 9)	-55029	NR_033635	100042056	Mm.448157	NM_198118	ENSMUSG00000073067	9130019P16Rik	6430501H15Rik	RIKEN cDNA 9130019P16 gene	ncRNA
261	chr5	111420501	111421000	+	0	NA	exon (NM_001081235, exon 2 of 3)	exon (NM_001081235, exon 2 of 3)	3450	NM_001081235	433938	Mm.332576	NM_001081235	ENSMUSG00000070576	Mn1	AA003644|AA009236	meningioma 1	protein-coding
631	chr11	70520001	70520500	+	0	NA	exon (NM_146020, exon 3 of 3)	exon (NM_146020, exon 3 of 3)	1041	NM_146020	216871	Mm.22551	NM_146020	ENSMUSG00000046811	Gltpd2	C730027E14Rik	glycolipid transfer protein domain containing 2	protein-coding
246	chr4	33495001	33495500	+	0	NA	intron (NM_001305273, intron 14 of 15)	(CGGG)n|Simple_repeat|Simple_repeat	57169	NR_106198	102465904		NR_106198	ENSMUSG00000098310	Mir8118	Gm27954|mmu-mir-8118	microRNA 8118	ncRNA
558	chr9	117837001	117837500	+	0	NA	Intergenic	Intergenic	-203272	NM_013727	27215	Mm.92705	NM_013727	ENSMUSG00000039285	Azi2	AA410145|AZ2	5-azacytidine induced gene 2	protein-coding
493	chr8	121126501	121127000	+	0	NA	promoter-TSS (NM_008024)	promoter-TSS (NM_008024)	-935	NM_008024	14241	Mm.5111	NM_008024	ENSMUSG00000097084	Foxl1	FREAC7|Fkh6|fkh-6	forkhead box L1	protein-coding
372	chr7	97325501	97326000	+	0	NA	exon (NM_001177412, exon 2 of 11)	exon (NM_001177412, exon 2 of 11)	6359	NM_001177412	244144	Mm.297541	NM_001177412	ENSMUSG00000035713	Usp35	Gm1088|Gm493	ubiquitin specific peptidase 35	protein-coding
876	chr17	83043001	83043500	+	0	NA	intron (NR_045094, intron 2 of 3)	(CA)n|Simple_repeat|Simple_repeat	34975	NR_045094	100503434	Mm.187281	NR_045094	ENSMUSG00000117399	Gm19689	-	predicted gene, 19689	ncRNA
262	chr5	111421501	111422000	+	0	NA	exon (NM_001081235, exon 2 of 3)	exon (NM_001081235, exon 2 of 3)	4450	NM_001081235	433938	Mm.332576	NM_001081235	ENSMUSG00000070576	Mn1	AA003644|AA009236	meningioma 1	protein-coding
64	chr1	88623001	88623500	+	0	NA	Intergenic	Intergenic	71733	NR_037971	100503197	Mm.99352	NR_037971	ENSMUSG00000100798	Gm19589	-	predicted gene, 19589	ncRNA
632	chr11	70337001	70337500	+	0	NA	Intergenic	B4A|SINE|B4	-14720	NM_145684	11685	Mm.274093	NM_145684	ENSMUSG00000018907	Alox12e	12-LOX|8-LOX|AW259591|Alox12-ps1|Alox12-ps2|Aloxe|e-LOX1	arachidonate lipoxygenase, epidermal	protein-coding
793	chr14	41028001	41028500	+	0	NA	Intergenic	Intergenic	-14417	NM_001316735	70564	Mm.27227	NM_027464	ENSMUSG00000021792	Prxl2a	5730469M10Rik|AU040822|Adrx|Fam213a|Pamm	peroxiredoxin like 2A	protein-coding
684	chr11	3143501	3144000	+	0	NA	exon (NM_030207, exon 19 of 33)	exon (NM_030207, exon 19 of 33)	19748	NR_003517	236604	Mm.247625	NM_001004146		Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
328	chr6	93716001	93716500	+	0	NA	intron (NM_001029850, intron 13 of 23)	intron (NM_001029850, intron 13 of 23)	196713	NR_104594	14924	Mm.217216	NM_010367	ENSMUSG00000045095	Magi1	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	membrane associated guanylate kinase, WW and PDZ domain containing 1	protein-coding
524	chr8	12431001	12431500	+	0	NA	intron (NR_027975, intron 6 of 7)	CpG	35731	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
613	chr10	49096001	49096500	+	0	NA	3' UTR (NM_001111268, exon 17 of 17)	3' UTR (NM_001111268, exon 17 of 17)	691687	NM_001358866	14806	Mm.185993	NM_010349	ENSMUSG00000056073	Grik2	AW124492|C130030K03Rik|GluK2|Glur-6|Glur6|Glurbeta2	glutamate receptor, ionotropic, kainate 2 (beta 2)	protein-coding
547	chr9	60491501	60492000	+	0	NA	intron (NM_001040426, intron 2 of 17)	Tigger13a|DNA|TcMar-Tigger	19285	NM_001040426	207596	Mm.28791	NM_172444	ENSMUSG00000032289	Thsd4	ADAMTSL-6|ADAMTSL6|AI585901|Adamtsl4|B230114P05Rik	thrombospondin, type I, domain containing 4	protein-coding
208	chr4	142639001	142639500	+	0	NA	Intergenic	Intergenic	-399849	NM_001109685	71529	Mm.255986	NM_144531	ENSMUSG00000040606	Kazn	2310007B04Rik|9030409G11Rik|AI256607|AI666764|AW061099|Kaz|Kazrin	kazrin, periplakin interacting protein	protein-coding
176	chr3	18625001	18625500	+	0	NA	Intergenic	Intergenic	-144773	NR_040544	73959	Mm.60616	NR_040544	ENSMUSG00000102699	4930433B08Rik	-	RIKEN cDNA 4930433B08 gene	ncRNA
375	chr7	99469001	99469500	+	0	NA	intron (NM_028145, intron 2 of 6)	intron (NM_028145, intron 2 of 6)	3246	NM_028145	72184	Mm.153585	NM_028145	ENSMUSG00000035298	Klhl35	2810406K13Rik	kelch-like 35	protein-coding
199	chr4	83656501	83657000	+	0	NA	intron (NM_001355549, intron 11 of 24)	intron (NM_001355549, intron 11 of 24)	131174	NM_001369173	320226	Mm.180032	NM_029117	ENSMUSG00000052407	Ccdc171	4930418J05Rik|4930473A06Rik|A330015D16Rik	coiled-coil domain containing 171	protein-coding
265	chr5	112253001	112253500	+	0	NA	promoter-TSS (NM_021351)	promoter-TSS (NM_021351)	-732	NM_001312884	12959	Mm.40324	NM_021351	ENSMUSG00000066975	Cryba4	-	crystallin, beta A4	protein-coding
635	chr11	112451501	112452000	+	0	NA	Intergenic	Intergenic	259606	NR_024085	217294	Mm.297761	NM_146031	ENSMUSG00000041674	BC006965	-	cDNA sequence BC006965	ncRNA
609	chr10	42573001	42573500	+	0	NA	intron (NM_152229, intron 3 of 8)	intron (NM_152229, intron 3 of 8)	10340	NM_152229	21907	Mm.287100	NM_152229	ENSMUSG00000019803	Nr2e1	Mtl1|Mtll|TLL|Tlx|XTLL|fierce|frc|tailless	nuclear receptor subfamily 2, group E, member 1	protein-coding
255	chr5	103527001	103527500	+	0	NA	intron (NM_011204, intron 13 of 47)	intron (NM_011204, intron 13 of 47)	102058	NM_011204	19249	Mm.3414	NM_011204	ENSMUSG00000034573	Ptpn13	AI324989|PTP-BL|PTPL1|Ptpri|RIP	protein tyrosine phosphatase, non-receptor type 13	protein-coding
931	chr19	37684501	37685000	+	0	NA	promoter-TSS (NM_001105201)	promoter-TSS (NM_001105201)	-930	NM_001105201	546726	Mm.457750	NM_001105201	ENSMUSG00000062432	Cyp26c1	EG546726	cytochrome P450, family 26, subfamily c, polypeptide 1	protein-coding
409	chr7	112823001	112823500	+	0	NA	intron (NM_001166584, intron 2 of 13)	intron (NM_001166584, intron 2 of 13)	-130712	NM_175279	78748	Mm.349943	NM_175279	ENSMUSG00000098132	Rassf10	4632411J06Rik	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10	protein-coding
732	chr12	99645001	99645500	+	0	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	-17276	NR_045288	73457	Mm.383439	NR_045288	ENSMUSG00000100211	1700064M15Rik	-	RIKEN cDNA 1700064M15 gene	ncRNA
803	chr15	97055501	97056000	+	0	NA	intron (NM_027052, intron 1 of 15)	RLTR20A4|LTR|ERVK	206	NM_027052	69354	Mm.250980	NM_027052	ENSMUSG00000022464	Slc38a4	1110012E16Rik|1700012A18Rik|Ata3|mATA3|mNAT3	solute carrier family 38, member 4	protein-coding
74	chr2	61807001	61807500	+	0	NA	intron (NM_009322, intron 3 of 5)	intron (NM_009322, intron 3 of 5)	2797	NM_009322	21375	Mm.308525	NM_009322	ENSMUSG00000035033	Tbr1	-	T-box brain gene 1	protein-coding
502	chr8	115092501	115093000	+	0	NA	intron (NM_019573, intron 8 of 8)	intron (NM_019573, intron 8 of 8)	614144	NM_001025577	17132	Mm.275549	NM_001025577	ENSMUSG00000055435	Maf	2810401A20Rik|A230108G15Rik|AW047063|c-maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	protein-coding
435	chr7	16472001	16472500	+	0	NA	intron (NM_008718, intron 3 of 11)	intron (NM_008718, intron 3 of 11)	4530	NM_008718	18142	Mm.145821	NM_008718	ENSMUSG00000001988	Npas1	MOP5|bHLHe11	neuronal PAS domain protein 1	protein-coding
144	chr2	130365501	130366000	+	0	NA	intron (NM_001110513, intron 15 of 16)	intron (NM_001110513, intron 15 of 16)	31879	NM_019696	56264	Mm.112701	NM_019696	ENSMUSG00000027408	Cpxm1	AA986902|Cpx-1|Cpx1|Cpxm	carboxypeptidase X 1 (M14 family)	protein-coding
731	chr12	99724501	99725000	+	0	NA	intron (NM_030172, intron 5 of 5)	MER20|DNA|hAT-Charlie	-96776	NR_045288	73457	Mm.383439	NR_045288	ENSMUSG00000100211	1700064M15Rik	-	RIKEN cDNA 1700064M15 gene	ncRNA
127	chr2	160370001	160370500	+	0	NA	Intergenic	Intergenic	-3185	NM_010658	16658	Mm.330745	NM_010658	ENSMUSG00000074622	Mafb	Kreisler|Krml|Krml1|kr	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	protein-coding
413	chr7	118597001	118597500	+	0	NA	promoter-TSS (NM_001105252)	promoter-TSS (NM_001105252)	-47	NM_001105252	74424	Mm.11068	NM_028930	ENSMUSG00000030650	Tmc5	4932443L08Rik|AU016085	transmembrane channel-like gene family 5	protein-coding
501	chr8	114514501	114515000	+	0	NA	intron (NM_019573, intron 5 of 8)	intron (NM_019573, intron 5 of 8)	75098	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
88	chr2	38355001	38355500	+	0	NA	intron (NM_001290646, intron 3 of 4)	intron (NM_001290646, intron 3 of 4)	3942	NM_010710	16870	Mm.142856	NM_010710	ENSMUSG00000000247	Lhx2	LH2A|Lh-2|Lim2|ap|apterous	LIM homeobox protein 2	protein-coding
484	chr8	91804501	91805000	+	0	NA	Intergenic	Intergenic	-3096	NM_008393	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
510	chr8	123125501	123126000	+	0	NA	intron (NM_170684, intron 5 of 14)	intron (NM_170684, intron 5 of 14)	-4356	NR_106048	102465655		NR_106048	ENSMUSG00000098582	Mir7080	Gm27911|mmu-mir-7080	microRNA 7080	ncRNA
932	chr19	57049501	57050000	+	0	NA	intron (NM_001290816, intron 12 of 20)	intron (NM_001290816, intron 12 of 20)	-41175	NM_001177797	226250	Mm.226284	NM_146102	ENSMUSG00000025083	Afap1l2	AU041783|C86904|mKIAA1914	actin filament associated protein 1-like 2	protein-coding
130	chr2	169388001	169388500	+	0	NA	Intergenic	Intergenic	-244259	NM_001363022	228911	Mm.315789	NM_080455	ENSMUSG00000047907	Tshz2	2900073F20Rik|B830045G17|Mtsh2|Sdccag33l|Tsh2|Zfp218|mKIAA4248|teashirt2	teashirt zinc finger family member 2	protein-coding
819	chr15	98806501	98807000	+	0	NA	exon (NM_001013741, exon 2 of 2)	exon (NM_001013741, exon 2 of 2)	1175	NM_001013741	13199	Mm.390810	NM_001013741	ENSMUSG00000059213	Ddn	Gm748	dendrin	protein-coding
94	chr2	25577501	25578000	+	0	NA	exon (NM_001005424, exon 1 of 1)	exon (NM_001005424, exon 1 of 1)	2349	NM_001005424	381353	Mm.379511	NM_001005424	ENSMUSG00000029419	Ajm1	Gm996	apical junction component 1	protein-coding
735	chr12	56298001	56298500	+	0	NA	Intergenic	Intergenic	45007	NR_045048	100503961	Mm.136732	NR_045048	ENSMUSG00000112164	Gm19990	-	predicted gene, 19990	ncRNA
505	chr8	114899001	114899500	+	0	NA	intron (NM_019573, intron 8 of 8)	intron (NM_019573, intron 8 of 8)	459598	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
432	chr7	6189501	6190000	+	0	NA	exon (NM_028316, exon 4 of 4)	exon (NM_028316, exon 4 of 4)	-7340	NM_178028	232836	Mm.246599	NM_178028	ENSMUSG00000034660	Galp	-	galanin-like peptide	protein-coding
844	chr16	89817501	89818000	+	0	NA	intron (NM_001145886, intron 16 of 27)	intron (NM_001145886, intron 16 of 27)	602	NM_001145887	21844	Mm.310902	NM_009384	ENSMUSG00000002489	Tiam1	AI847750|D16Ium10|D16Ium10e	T cell lymphoma invasion and metastasis 1	protein-coding
44	chr1	33610001	33610500	+	0	NA	intron (NM_008922, intron 7 of 13)	intron (NM_008922, intron 7 of 13)	59544	NM_008922	19076	Mm.27705	NM_008922	ENSMUSG00000026134	Prim2	AI323589	DNA primase, p58 subunit	protein-coding
827	chr15	88618501	88619000	+	0	NA	Intergenic	Intergenic	18448	NM_027306	70073	Mm.45306	NM_027306	ENSMUSG00000054117	Zdhhc25	1700030J15Rik	zinc finger, DHHC domain containing 25	protein-coding
709	chr12	82281001	82281500	+	0	NA	intron (NM_001167983, intron 3 of 23)	(TCG)n|Simple_repeat|Simple_repeat	-30099	NM_172579	217692	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
830	chr15	89558001	89558500	+	0	NA	exon (NM_021423, exon 22 of 22)	exon (NM_021423, exon 22 of 22)	9955	NR_155423	102640064	Mm.416865	NR_155423		Gm36221	-	predicted gene, 36221	ncRNA
913	chr18	15065501	15066000	+	0	NA	intron (NM_134112, intron 1 of 4)	intron (NM_134112, intron 1 of 4)	-2168	NM_001142731	106931	Mm.329299	NM_134112	ENSMUSG00000036225	Kctd1	4933402K10Rik|AI661543|AW553000	potassium channel tetramerisation domain containing 1	protein-coding
252	chr4	56257001	56257500	+	0	NA	Intergenic	Intergenic	484175	NM_025271	11471	Mm.251434	NM_025271	ENSMUSG00000070980	Actl7b	Gm26657|Tact1	actin-like 7b	protein-coding
119	chr2	173406501	173407000	+	0	NA	Intergenic	Intergenic	-115842	NM_028158	72221	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding
18	chr1	189834001	189834500	+	0	NA	intron (NM_008976, intron 7 of 18)	intron (NM_008976, intron 7 of 18)	88041	NM_026796	226830	Mm.156895	NM_026796	ENSMUSG00000026603	Smyd2	1110020E07Rik|4930402C15|KMT3C|Zmynd14	SET and MYND domain containing 2	protein-coding
539	chr9	55549501	55550000	+	0	NA	TTS (NM_001357653)	TTS (NM_001357653)	7030	NM_001357653	244891	Mm.86588	NM_175536	ENSMUSG00000034007	Scaper	C430017I08|D530014O03Rik|Zfp291	S phase cyclin A-associated protein in the ER	protein-coding
