PeakID (cmd=annotatePeaks.pl 500_result/Hypo.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2118	chr10	60294501	60295000	+	0	NA	intron (NM_001146124, intron 5 of 13)	intron (NM_001146124, intron 5 of 13)	10289	NM_001146124	19156	Mm.29978	NM_011179	ENSMUSG00000004207	Psap	AI037048|SGP-1	prosaposin	protein-coding
931	chr5	122404001	122404500	+	0	NA	exon (NM_019824, exon 5 of 7)	exon (NM_019824, exon 5 of 7)	12372	NM_019824	56378	Mm.275942	NM_019824	ENSMUSG00000029465	Arpc3	1110006A04Rik|p21-ARC|p21-Ar|p21Arc	actin related protein 2/3 complex, subunit 3	protein-coding
3439	chr19	29926501	29927000	+	0	NA	intron (NM_133775, intron 1 of 7)	intron (NM_133775, intron 1 of 7)	1637	NM_133775	77125	Mm.182359	NM_133775	ENSMUSG00000024810	Il33	9230117N10Rik|Il-33|Il1f11|NF-HEV	interleukin 33	protein-coding
3089	chr16	31139001	31139500	+	0	NA	intron (NM_030138, intron 6 of 22)	intron (NM_030138, intron 6 of 22)	-57818	NM_198626	268880	Mm.286693	NM_198626	ENSMUSG00000047434	Xxylt1	AI480653	xyloside xylosyltransferase 1	protein-coding
1565	chr8	120161501	120162000	+	0	NA	3' UTR (NM_001163761, exon 12 of 12)	3' UTR (NM_001163761, exon 12 of 12)	15719	NM_001033980	436062	Mm.334852	NM_001033980	ENSMUSG00000042269	Fam92b	1700120B06Rik	family with sequence similarity 92, member B	protein-coding
2723	chr14	70585501	70586000	+	0	NA	exon (NM_194345, exon 15 of 17)	exon (NM_194345, exon 15 of 17)	7651	NM_001360474	213484	Mm.34191	NM_153136	ENSMUSG00000045211	Nudt18	BC036718	nudix (nucleoside diphosphate linked moiety X)-type motif 18	protein-coding
192	chr2	65237001	65237500	+	0	NA	intron (NM_001363076, intron 1 of 14)	intron (NM_001363076, intron 1 of 14)	1541	NM_001363076	319876	Mm.34159	NM_027225	ENSMUSG00000034903	Cobll1	1810047P18Rik|Coblr1|D430044D16Rik	Cobl-like 1	protein-coding
783	chr4	44306501	44307000	+	0	NA	intron (NM_010790, intron 3 of 17)	MTEb|LTR|ERVL-MaLR	5833	NM_010790	17279	Mm.268668	NM_010790	ENSMUSG00000035683	Melk	AI327312|MPK38|mKIAA0175	maternal embryonic leucine zipper kinase	protein-coding
946	chr5	115613501	115614000	+	0	NA	exon (NM_172719, exon 47 of 58)	exon (NM_172719, exon 47 of 58)	18066	NR_027810	66123	Mm.133063	NM_021417	ENSMUSG00000107121	1110006O24Rik	-	RIKEN cDNA 1110006O24 gene	ncRNA
757	chr4	131696001	131696500	+	0	NA	Intergenic	Intergenic	142028	NM_011214	19273	Mm.4860	NM_011214	ENSMUSG00000028909	Ptpru	Ftp-1|PCP-2|PTP|PTP-lambda|PTPlambda|Pcp2|Ptpf|Ptprl|R-PTP-U|R-PTP-psi|RPTPlambda	protein tyrosine phosphatase, receptor type, U	protein-coding
75	chr1	193272501	193273000	+	0	NA	exon (NM_008059, exon 2 of 2)	exon (NM_008059, exon 2 of 2)	438	NM_008059	14373	Mm.439721	NM_008059	ENSMUSG00000009633	G0s2	AI255151|AV006465	G0/G1 switch gene 2	protein-coding
3022	chr16	92391501	92392000	+	0	NA	TTS (NM_019466)	TTS (NM_019466)	8328	NM_019466	54720	Mm.265744	NM_019466	ENSMUSG00000022951	Rcan1	Adapt78|CALP1L|CSP1|DSC1|Dscr1|MCIP1|RCN1	regulator of calcineurin 1	protein-coding
3342	chr19	42755501	42756000	+	0	NA	exon (NM_001346703, exon 20 of 20)	exon (NM_001346703, exon 20 of 20)	-2975	NM_029011	74580	Mm.329858	NM_029011	ENSMUSG00000060224	Pyroxd2	3830409H07Rik|4833409A17Rik	pyridine nucleotide-disulphide oxidoreductase domain 2	protein-coding
3495	chrX	20688501	20689000	+	0	NA	5' UTR (NM_011049, exon 1 of 16)	5' UTR (NM_011049, exon 1 of 16)	324	NM_011049	18555	Mm.102574	NM_011049	ENSMUSG00000031065	Cdk16	Crk5|Pctaire1|Pctk1	cyclin-dependent kinase 16	protein-coding
2212	chr11	113179501	113180000	+	0	NA	intron (NR_015556, intron 1 of 2)	intron (NR_015556, intron 1 of 2)	22088	NR_015556	72386	Mm.266961	NR_015556	ENSMUSG00000087259	2610035D17Rik	-	RIKEN cDNA 2610035D17 gene	ncRNA
2791	chr14	45636001	45636500	+	0	NA	intron (NM_001042719, intron 1 of 13)	(TCCA)n|Simple_repeat|Simple_repeat	21803	NR_039593	100628600		NR_039593	ENSMUSG00000093167	Mir5131	mmu-mir-5131|mu-mir-5131	microRNA 5131	ncRNA
2719	chr14	76120001	76120500	+	0	NA	intron (NM_013745, intron 5 of 9)	L1ME1|LINE|L1	9359	NM_013745	27275	Mm.21138	NM_013745	ENSMUSG00000022009	Nufip1	Nufip	nuclear fragile X mental retardation protein interacting protein 1	protein-coding
1050	chr5	28358001	28358500	+	0	NA	intron (NM_028234, intron 7 of 18)	intron (NM_028234, intron 7 of 18)	41061	NM_028234	381626	Mm.304075	NM_028234	ENSMUSG00000048271	Rbm33	3200001K10Rik|6430512A10Rik|AA386890|Prr8	RNA binding motif protein 33	protein-coding
2817	chr15	76462001	76462500	+	0	NA	intron (NM_013481, intron 3 of 15)	intron (NM_013481, intron 3 of 15)	4812	NM_198885	20289	Mm.322821	NM_198885	ENSMUSG00000034161	Scx	BB114693|Bhlha41|Scl	scleraxis	protein-coding
854	chr5	139795001	139795500	+	0	NA	intron (NM_010757, intron 1 of 2)	intron (NM_010757, intron 1 of 2)	3714	NM_010757	17135	Mm.157313	NM_010757	ENSMUSG00000018143	Mafk	AW061068|NF-E2|Nfe2u	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)	protein-coding
3506	chrX	48285501	48286000	+	0	NA	promoter-TSS (NR_045916)	promoter-TSS (NR_045916)	-324	NR_045916	100500713	Mm.396609	NR_045916	ENSMUSG00000097197	9530027J09Rik	-	RIKEN cDNA 9530027J09 gene	ncRNA
261	chr2	32198501	32199000	+	0	NA	intron (NM_001159634, intron 9 of 31)	intron (NM_001159634, intron 9 of 31)	-37890	NM_145145	99011	Mm.31192	NM_145145	ENSMUSG00000039254	Pomt1	AI505244	protein-O-mannosyltransferase 1	protein-coding
2283	chr11	115385001	115385500	+	0	NA	intron (NM_001080929, intron 1 of 4)	intron (NM_001080929, intron 1 of 4)	3334	NM_001080929	237988	Mm.102872	NM_001080929	ENSMUSG00000050910	Cdr2l	D030068L24Rik|Gm21	cerebellar degeneration-related protein 2-like	protein-coding
3373	chr19	47359501	47360000	+	0	NA	intron (NM_001164717, intron 5 of 13)	intron (NM_001164717, intron 5 of 13)	-86161	NR_105961	102466782		NR_105961	ENSMUSG00000098786	Mir6995	Gm27576|mmu-mir-6995	microRNA 6995	ncRNA
1088	chr5	66575001	66575500	+	0	NA	intron (NM_001201413, intron 1 of 16)	B3|SINE|B2	43567	NM_001201415	11787	Mm.5159	NM_009686	ENSMUSG00000029207	Apbb2	2310007D03Rik|FE65L1|Rirl1|TR2L|Zfra	amyloid beta (A4) precursor protein-binding, family B, member 2	protein-coding
1846	chr9	25410001	25410500	+	0	NA	Intergenic	Intergenic	-71347	NM_026189	67484	Mm.112977	NM_026189	ENSMUSG00000036611	Eepd1	2310005P05Rik|AI481005	endonuclease/exonuclease/phosphatase family domain containing 1	protein-coding
1438	chr7	15749501	15750000	+	0	NA	promoter-TSS (NM_145709)	promoter-TSS (NM_145709)	-620	NM_145709	252829	Mm.222738	NM_145709	ENSMUSG00000074366	Obox5	C87544	oocyte specific homeobox 5	protein-coding
2690	chr13	37460001	37460500	+	0	NA	Intergenic	Intergenic	114905	NM_010745	17084	Mm.2639	NM_010745	ENSMUSG00000021423	Ly86	MD-1|MD1|ly86_tv2	lymphocyte antigen 86	protein-coding
247	chr2	27084501	27085000	+	0	NA	intron (NM_029981, intron 5 of 18)	intron (NM_029981, intron 5 of 18)	5371	NM_029981	77794	Mm.330088	NM_029981	ENSMUSG00000036040	Adamtsl2	A930008K15Rik|tcp-1	ADAMTS-like 2	protein-coding
3150	chr17	12227501	12228000	+	0	NA	3' UTR (NM_011948, exon 27 of 27)	3' UTR (NM_011948, exon 27 of 27)	90910	NM_011948	26407	Mm.28587	NM_011948	ENSMUSG00000014426	Map3k4	D17Rp17|D17Rp17e|MAPKKK4|MEKK 4|MTK1|Mek4b|Mekk4|RP17|Rp17a|Tas|mKIAA0213	mitogen-activated protein kinase kinase kinase 4	protein-coding
1788	chr9	50753001	50753500	+	0	NA	promoter-TSS (NM_001164708)	promoter-TSS (NM_001164708)	279	NM_001289785	12955	Mm.178	NM_009964	ENSMUSG00000032060	Cryab	Crya-2|Crya2|HspB5|P23	crystallin, alpha B	protein-coding
1122	chr6	85480001	85480500	+	0	NA	exon (NM_001289674, exon 4 of 13)	exon (NM_001289674, exon 4 of 13)	22744	NM_001001160	330369	Mm.38777	NM_001001160	ENSMUSG00000047013	Fbxo41	9630017H13|D6Ertd538e	F-box protein 41	protein-coding
2357	chr11	101060001	101060500	+	0	NA	intron (NM_001362637, intron 21 of 21)	intron (NM_001362637, intron 21 of 21)	-9844	NM_013792	27419	Mm.95452	NM_013792	ENSMUSG00000001751	Naglu	-	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	protein-coding
539	chr3	8933001	8933500	+	0	NA	intron (NM_001025264, intron 6 of 6)	intron (NM_001025264, intron 6 of 6)	-9393	NM_025434	66230	Mm.38460	NM_025434	ENSMUSG00000040269	Mrps28	1500012D08Rik|AW061224	mitochondrial ribosomal protein S28	protein-coding
1651	chr8	111626501	111627000	+	0	NA	3' UTR (NM_027570, exon 11 of 11)	3' UTR (NM_027570, exon 11 of 11)	3586	NM_027570	52815	Mm.27589	NM_027570	ENSMUSG00000031958	Ldhd	4733401P21Rik|D8Bwg1320e|DLD	lactate dehydrogenase D	protein-coding
3188	chr17	28040501	28041000	+	0	NA	intron (NM_181413, intron 13 of 24)	intron (NM_181413, intron 13 of 24)	39834	NM_013687	21463	Mm.29758	NM_013687	ENSMUSG00000062859	Tcp11	D17Ken1|Tcp-11	t-complex protein 11	protein-coding
927	chr5	118748501	118749000	+	0	NA	exon (NM_001347445, exon 21 of 31)	exon (NM_001347445, exon 21 of 31)	188031	NM_001347445	76199	Mm.206238	NM_172424	ENSMUSG00000018076	Med13l	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L|mKIAA1025	mediator complex subunit 13-like	protein-coding
3229	chr17	35161501	35162000	+	0	NA	intron (NM_001199044, intron 4 of 30)	intron (NM_001199044, intron 4 of 30)	3127	NM_001199044	53761	Mm.272462	NM_020027	ENSMUSG00000024393	Prrc2a	3110039B05Rik|Bat-2|Bat2|D17H6S51E|G2|Wbp12|mKIAA4178	proline-rich coiled-coil 2A	protein-coding
2019	chr10	120897001	120897500	+	0	NA	intron (NM_177092, intron 1 of 6)	(CA)n|Simple_repeat|Simple_repeat	1721	NM_177092	320183	Mm.169755	NM_177092	ENSMUSG00000051236	Msrb3	D430026P16Rik|I-8-23|MsrB2	methionine sulfoxide reductase B3	protein-coding
1750	chr9	56883501	56884000	+	0	NA	intron (NM_139001, intron 2 of 9)	intron (NM_139001, intron 2 of 9)	18646	NM_139001	121021	Mm.41329	NM_139001	ENSMUSG00000032911	Cspg4	4732461B14Rik|AN2|NG2	chondroitin sulfate proteoglycan 4	protein-coding
2091	chr10	75694001	75694500	+	0	NA	intron (NM_172549, intron 28 of 36)	intron (NM_172549, intron 28 of 36)	-50242	NM_001162913	71733	Mm.247956	NM_027890	ENSMUSG00000006342	Susd2	1200011D11Rik	sushi domain containing 2	protein-coding
1329	chr7	130969001	130969500	+	0	NA	intron (NM_019564, intron 3 of 8)	intron (NM_019564, intron 3 of 8)	33047	NM_019564	56213	Mm.30156	NM_019564	ENSMUSG00000006205	Htra1	AI429470|HTRA|L56|Prss11|RSPP11	HtrA serine peptidase 1	protein-coding
1049	chr5	27768001	27768500	+	0	NA	intron (NM_018878, intron 6 of 20)	intron (NM_018878, intron 6 of 20)	23300	NM_018878	55982	Mm.277190	NM_018878	ENSMUSG00000002221	Paxip1	D5Ertd149e|PTIP	PAX interacting (with transcription-activation domain) protein 1	protein-coding
313	chr2	156510501	156511000	+	0	NA	exon (NM_001291121, exon 13 of 22)	exon (NM_001291121, exon 13 of 22)	35201	NM_001368804	13821	Mm.20852	NM_013510	ENSMUSG00000027624	Epb41l1	4.1N|Epb4.1l1|NBL1|mKIAA0338	erythrocyte membrane protein band 4.1 like 1	protein-coding
2560	chr12	12307001	12307500	+	0	NA	intron (NM_029758, intron 3 of 12)	intron (NM_029758, intron 3 of 12)	45073	NM_001364432	76820	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding
2356	chr11	100353501	100354000	+	0	NA	exon (NM_010404, exon 5 of 11)	exon (NM_010404, exon 5 of 11)	2378	NM_001359052	15114	Mm.281700	NM_010404	ENSMUSG00000006930	Hap1	HAP-1	huntingtin-associated protein 1	protein-coding
1639	chr8	110732001	110732500	+	0	NA	intron (NM_001310591, intron 10 of 13)	intron (NM_001310591, intron 10 of 13)	6524	NM_001310591	244654	Mm.490385	NM_198625	ENSMUSG00000033763	Mtss2	ABBA|Mtss1l	MTSS I-BAR domain containing 2	protein-coding
2933	chr15	81009501	81010000	+	0	NA	exon (NM_134091, exon 13 of 22)	exon (NM_134091, exon 13 of 22)	31985	NM_001357669	105835	Mm.274943	NM_134091	ENSMUSG00000042303	Sgsm3	1810012I01Rik|AI428557|BB175482|Cip85|R75178|RUSC3|Rutbc3	small G protein signaling modulator 3	protein-coding
173	chr1	89106501	89107000	+	0	NA	intron (NM_133816, intron 1 of 5)	intron (NM_133816, intron 1 of 5)	36335	NM_133816	98402	Mm.170983	NM_133816	ENSMUSG00000036206	Sh3bp4	AI594717|AW227605|BOG25	SH3-domain binding protein 4	protein-coding
2778	chr14	60380001	60380500	+	0	NA	exon (NM_001164705, exon 2 of 2)	exon (NM_001164705, exon 2 of 2)	2558	NM_001164705	72125	Mm.275499	NM_028113	ENSMUSG00000021986	Amer2	2600011E07Rik|Fam123a	APC membrane recruitment 2	protein-coding
2820	chr15	73149501	73150000	+	0	NA	intron (NM_153178, intron 1 of 18)	intron (NM_153178, intron 1 of 18)	35197	NM_153178	239528	Mm.23095	NM_153178	ENSMUSG00000036698	Ago2	1110029L17Rik|2310051F07Rik|AI225898|AL022874|AW546247|Eif2c2|Gerp95|Gm10365|mKIAA4215	argonaute RISC catalytic subunit 2	protein-coding
418	chr2	91629501	91630000	+	0	NA	intron (NM_010168, intron 9 of 13)	intron (NM_010168, intron 9 of 13)	6707	NM_010168	14061	Mm.89048	NM_010168	ENSMUSG00000027249	F2	Cf-2|Cf2|FII	coagulation factor II	protein-coding
1154	chr6	144757501	144758000	+	0	NA	Intergenic	Intergenic	84882	NR_040519	66760	Mm.233631	NR_040519	ENSMUSG00000085785	Sox5os3	4933425H06Rik	SRY (sex determining region Y)-box 5, opposite strand 3	ncRNA
638	chr4	152462501	152463000	+	0	NA	intron (NM_001355173, intron 1 of 16)	intron (NM_001355173, intron 1 of 16)	-9805	NM_001355172	16498	Mm.388924	NM_010598	ENSMUSG00000028931	Kcnab2	F5|I2rf5|Kcnb3|kv-beta-2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	protein-coding
164	chr1	90276001	90276500	+	0	NA	Intergenic	Intergenic	72270	NM_007722	12778	Mm.6522	NM_007722	ENSMUSG00000044337	Ackr3	AW541270|CXC-R7|CXCR-7|Cmkor1|Cxcr7|RDC-1|Rdc1	atypical chemokine receptor 3	protein-coding
557	chr4	101034001	101034500	+	0	NA	Intergenic	Intergenic	-34788	NM_183024	242570	Mm.185636	NM_183024	ENSMUSG00000035275	Raver2	A430091O22Rik	ribonucleoprotein, PTB-binding 2	protein-coding
1273	chr7	99662001	99662500	+	0	NA	intron (NM_175316, intron 11 of 13)	(TTTTA)n|Simple_repeat|Simple_repeat	33559	NM_001252531	101488	Mm.11249	NM_175316	ENSMUSG00000030737	Slco2b1	AI060904|AI852653|OATP-B|Slc21a9	solute carrier organic anion transporter family, member 2b1	protein-coding
1	chr1	131056501	131057000	+	0	NA	intron (NM_008551, intron 6 of 9)	intron (NM_008551, intron 6 of 9)	36905	NM_010548	16153	Mm.874	NM_010548	ENSMUSG00000016529	Il10	CSIF|Il-10	interleukin 10	protein-coding
583	chr4	137672001	137672500	+	0	NA	intron (NM_029563, intron 1 of 23)	intron (NM_029563, intron 1 of 23)	7524	NR_138591	110351	Mm.180763	NM_029563	ENSMUSG00000041351	Rap1gap	1300019I11Rik|2310004O14Rik|AI427470|ARPP-90|Gap|Rap1GAP1|Rap1ga1	Rap1 GTPase-activating protein	protein-coding
3149	chr17	12102001	12102500	+	0	NA	Intergenic	Intergenic	-17034	NM_026644	68262	Mm.258300	NM_026644	ENSMUSG00000023827	Agpat4	1500003P24Rik	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	protein-coding
2078	chr10	45109001	45109500	+	0	NA	intron (NM_011156, intron 7 of 14)	intron (NM_011156, intron 7 of 14)	42034	NM_011156	19072	Mm.37294	NM_011156	ENSMUSG00000019849	Prep	AI047692|AI450383|D10Wsu136e|PE|PEP|Pop	prolyl endopeptidase	protein-coding
148	chr1	74292501	74293000	+	0	NA	intron (NM_027154, intron 5 of 11)	intron (NM_027154, intron 5 of 11)	7716	NM_001039509	56695	Mm.384726	NM_019999	ENSMUSG00000026179	Pnkd	2210013N15Rik|2810403H05Rik|AI854243|Brp17|MNCb-5687|MR-1|Tahccp2	paroxysmal nonkinesiogenic dyskinesia	protein-coding
103	chr1	167618001	167618500	+	0	NA	promoter-TSS (NM_001159731)	promoter-TSS (NM_001159731)	-15	NM_001159731	20183	Mm.3475	NM_009107	ENSMUSG00000015843	Rxrg	Nr2b3	retinoid X receptor gamma	protein-coding
2816	chr15	76461001	76461500	+	0	NA	intron (NM_013481, intron 3 of 15)	intron (NM_013481, intron 3 of 15)	3812	NM_198885	20289	Mm.322821	NM_198885	ENSMUSG00000034161	Scx	BB114693|Bhlha41|Scl	scleraxis	protein-coding
1242	chr6	31251001	31251500	+	0	NA	intron (NR_040257, intron 2 of 7)	L3|LINE|CR1	30899	NR_040262	73652	Mm.441297	NR_040257	ENSMUSG00000087380	2210408F21Rik	-	RIKEN cDNA 2210408F21 gene	ncRNA
3507	chrX	48342001	48342500	+	0	NA	intron (NM_178782, intron 1 of 14)	CpG	892	NM_178782	320376	Mm.210146	NM_178782	ENSMUSG00000036959	Bcorl1	6720425J07Rik|B930011H20Rik	BCL6 co-repressor-like 1	protein-coding
3054	chr16	23265001	23265500	+	0	NA	intron (NM_145933, intron 2 of 7)	intron (NM_145933, intron 2 of 7)	-25220	NM_001252506	20440	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding
1847	chr9	14860501	14861000	+	0	NA	exon (NM_010287, exon 1 of 4)	exon (NM_010287, exon 1 of 4)	540	NM_001310734	14608	Mm.4672	NM_010287	ENSMUSG00000031932	Gpr83	AW045253|Gir|Gpr72|RP105|RP39|RP82	G protein-coupled receptor 83	protein-coding
1749	chr9	56886501	56887000	+	0	NA	exon (NM_139001, exon 3 of 10)	exon (NM_139001, exon 3 of 10)	21646	NM_139001	121021	Mm.41329	NM_139001	ENSMUSG00000032911	Cspg4	4732461B14Rik|AN2|NG2	chondroitin sulfate proteoglycan 4	protein-coding
1356	chr7	117570001	117570500	+	0	NA	intron (NM_175645, intron 3 of 11)	intron (NM_175645, intron 3 of 11)	189271	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
1560	chr8	119401001	119401500	+	0	NA	intron (NM_001364328, intron 1 of 2)	intron (NM_001364328, intron 1 of 2)	6356	NM_001364328	56690	Mm.423037	NM_019966	ENSMUSG00000074064	Mlycd	AI324784|Mcd	malonyl-CoA decarboxylase	protein-coding
2639	chr13	3087501	3088000	+	0	NA	Intergenic	Intergenic	-61725	NR_001581	73266	Mm.335891	NR_001581	ENSMUSG00000091304	Speer6-ps1	1700039A02Rik|Alb-cre|Alb<cre>|AlbCre|SPEER-6|Tg(Alb-cre)21Mgn|albumin-cre|cr<Alb>	spermatogenesis associated glutamate (E)-rich protein 6, pseudogene 1	pseudo
928	chr5	118861001	118861500	+	0	NA	Intergenic	MIRc|SINE|MIR	-91089	NR_040694	74627	Mm.410828	NR_040694	ENSMUSG00000107144	4930413E15Rik	-	RIKEN cDNA 4930413E15 gene	ncRNA
2329	chr11	94996501	94997000	+	0	NA	intron (NM_172261, intron 2 of 9)	intron (NM_172261, intron 2 of 9)	5538	NM_172261	217124	Mm.229087	NM_172261	ENSMUSG00000038976	Ppp1r9b	SPL|Spn	protein phosphatase 1, regulatory subunit 9B	protein-coding
36	chr1	135367001	135367500	+	0	NA	3' UTR (NM_053106, exon 3 of 3)	3' UTR (NM_053106, exon 3 of 3)	7813	NM_175259	77552	Mm.41407	NM_175259	ENSMUSG00000041889	Shisa4	9330132O05Rik|Tmem58|mShisa4	shisa family member 4	protein-coding
2049	chr10	127595001	127595500	+	0	NA	intron (NM_008512, intron 7 of 88)	intron (NM_008512, intron 7 of 88)	25898	NM_008512	16971	Mm.271854	NM_008512	ENSMUSG00000040249	Lrp1	A2mr|AI316852|CD91|Lrp|b2b1554Clo	low density lipoprotein receptor-related protein 1	protein-coding
3178	chr17	46302001	46302500	+	0	NA	TTS (NM_001347396)	TTS (NM_001347396)	4322	NM_001286013	106565	Mm.23633	NM_134120	ENSMUSG00000047428	Dlk2	AI413481|DLK-2|Egfl9	delta like non-canonical Notch ligand 2	protein-coding
1820	chr9	63755001	63755500	+	0	NA	intron (NM_016769, intron 1 of 8)	intron (NM_016769, intron 1 of 8)	2744	NM_016769	17127	Mm.7320	NM_016769	ENSMUSG00000032402	Smad3	AU022421|Madh3	SMAD family member 3	protein-coding
3257	chr18	65143501	65144000	+	0	NA	intron (NM_031881, intron 4 of 29)	intron (NM_031881, intron 4 of 29)	-105111	NR_029600	387231		NR_029600	ENSMUSG00000065402	Mir122	Mir122a|Mirn122a|mir-122|mmu-mir-122	microRNA 122	ncRNA
659	chr4	148388001	148388500	+	0	NA	Intergenic	Intergenic	56510	NM_027873	71707	Mm.292503	NM_027873	ENSMUSG00000047719	Ubiad1	1200002M06Rik|AI426463|AW320947|Tere1	UbiA prenyltransferase domain containing 1	protein-coding
2154	chr11	90622501	90623000	+	0	NA	intron (NM_011505, intron 1 of 17)	intron (NM_011505, intron 1 of 17)	15358	NM_011505	20913	Mm.207203	NM_011505	ENSMUSG00000020546	Stxbp4	6030470M02Rik|Synip	syntaxin binding protein 4	protein-coding
273	chr2	33802001	33802500	+	0	NA	intron (NM_175184, intron 7 of 9)	intron (NM_175184, intron 7 of 9)	-3566	NR_045729	320482	Mm.442057	NR_045729	ENSMUSG00000086484	Nron	A630071L07Rik|Gm24353	non-protein coding RNA, repressor of NFAT	ncRNA
1933	chr9	42110001	42110500	+	0	NA	intron (NM_011436, intron 1 of 47)	intron (NM_011436, intron 1 of 47)	14047	NM_011436	20660	Mm.121920	NM_011436	ENSMUSG00000049313	Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding
1778	chr9	44089001	44089500	+	0	NA	intron (NM_198092, intron 3 of 12)	intron (NM_198092, intron 3 of 12)	4330	NM_198091	53376	Mm.272770	NM_016808	ENSMUSG00000032010	Usp2	B930035K21Rik|Ubp41	ubiquitin specific peptidase 2	protein-coding
1078	chr5	73166501	73167000	+	0	NA	intron (NM_028194, intron 3 of 62)	intron (NM_028194, intron 3 of 62)	89868	NM_028194	72313	Mm.260594	NM_028194	ENSMUSG00000070733	Fryl	2010313D22Rik|2310004H21Rik|2510002A14Rik|9030227G01Rik|mKIAA0826	FRY like transcription coactivator	protein-coding
203	chr2	84880001	84880500	+	0	NA	intron (NM_199223, intron 2 of 2)	intron (NM_199223, intron 2 of 2)	6442	NM_199223	269295	Mm.86447	NM_199223	ENSMUSG00000050896	Rtn4rl2	Ngr2|Ngrh1|Ngrl3	reticulon 4 receptor-like 2	protein-coding
248	chr2	27112501	27113000	+	0	NA	exon (NM_175427, exon 3 of 3)	exon (NM_175427, exon 3 of 3)	29727	NM_175427	109349	Mm.314080	NM_175427	ENSMUSG00000009216	Fam163b	C630035N08Rik	family with sequence similarity 163, member B	protein-coding
1816	chr9	63839501	63840000	+	0	NA	Intergenic	Intergenic	-81756	NM_016769	17127	Mm.7320	NM_016769	ENSMUSG00000032402	Smad3	AU022421|Madh3	SMAD family member 3	protein-coding
264	chr2	32221501	32222000	+	0	NA	intron (NM_001159634, intron 25 of 31)	intron (NM_001159634, intron 25 of 31)	-14890	NM_145145	99011	Mm.31192	NM_145145	ENSMUSG00000039254	Pomt1	AI505244	protein-O-mannosyltransferase 1	protein-coding
2273	chr11	116256001	116256500	+	0	NA	intron (NM_146032, intron 8 of 15)	intron (NM_146032, intron 8 of 15)	17967	NM_146032	217337	Mm.29655	NM_146032	ENSMUSG00000020780	Srp68	2610024I03Rik	signal recognition particle 68	protein-coding
3462	chrX	162760501	162761000	+	0	NA	intron (NM_009031, intron 1 of 11)	CpG	378	NM_009031	245688	Mm.270186	NM_009031	ENSMUSG00000031353	Rbbp7	AA409861|AI173248|AU019541|BB114024|mRbAp46	retinoblastoma binding protein 7, chromatin remodeling factor	protein-coding
3383	chr19	10171501	10172000	+	0	NA	Intergenic	Intergenic	-11138	NM_146094	76267	Mm.30158	NM_146094	ENSMUSG00000010663	Fads1	0710001O03Rik|A930006B21Rik|AI317215|DSD	fatty acid desaturase 1	protein-coding
2	chr1	131055001	131055500	+	0	NA	intron (NM_008551, intron 9 of 9)	intron (NM_008551, intron 9 of 9)	35405	NM_010548	16153	Mm.874	NM_010548	ENSMUSG00000016529	Il10	CSIF|Il-10	interleukin 10	protein-coding
851	chr5	139057501	139058000	+	0	NA	intron (NM_001359101, intron 5 of 9)	intron (NM_001359101, intron 5 of 9)	-62806	NM_008808	18590	Mm.2675	NM_008808	ENSMUSG00000025856	Pdgfa	PDGF-1	platelet derived growth factor, alpha	protein-coding
2847	chr15	91709001	91709500	+	0	NA	intron (NM_025730, intron 12 of 50)	intron (NM_025730, intron 12 of 50)	36026	NM_025730	66725	Mm.37558	NM_025730	ENSMUSG00000036273	Lrrk2	4921513O20Rik|9330188B09Rik|AW561911|D630001M17Rik|Gm927|cI-46	leucine-rich repeat kinase 2	protein-coding
2749	chr14	30520001	30520500	+	0	NA	intron (NM_133761, intron 7 of 9)	intron (NM_133761, intron 7 of 9)	-28881	NM_009388	21881	Mm.290692	NM_009388	ENSMUSG00000021957	Tkt	p68	transketolase	protein-coding
2242	chr11	118527001	118527500	+	0	NA	intron (NM_001285436, intron 3 of 13)	Tigger19a|DNA|TcMar-Tigger	50418	NM_001359368	217364	Mm.473963	NM_172573	ENSMUSG00000033857	Engase	C130099A03|D230014K01Rik	endo-beta-N-acetylglucosaminidase	protein-coding
